OBJECTID,Date,Time,Location,City,Latitude,Longitude,Direction,Type,Lanes_Bloc,Involved,Tweet,Source
651,2018-09-12 00:00:00,8:03 AM,EDSA PARAMOUNT,Quezon City,14.655615,121.029875,SB,VEHICULAR ACCIDENT,1,BUS AND MC,MMDA ALERT: Vehicular accident at EDSA Paramount SB involving bus and MC as of 8:03 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1039670653366882304
652,2018-09-12 00:00:00,8:18 AM,KATIPUNAN C.P.. GARCIA,Quezon City,14.648274,121.074353,NB,VEHICULAR ACCIDENT,1,BUS AND CAR,MMDA ALERT: Vehicular accident at Katipunan C.P. Garcia NB involving bus and car as of 8:18 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1039673496761069568
653,2018-09-12 00:00:00,8:44 AM,QUEZON AVE. DELTA,Quezon City,14.637473,121.026629,WB,VEHICULAR ACCIDENT,1,2 CARS,MMDA ALERT: Vehicular accident at Quezon Ave. Delta WB involving 2 cars as of 8:44 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1039684442917298177
654,2018-09-12 00:00:00,9:17 AM,QUEZON AVE. LUNG CENTER,Quezon City,14.64882,121.045015,EB,MULTIPLE COLLISION,2,2 TAXI AND PICK UP,MMDA ALERT: Multiple Collision at Quezon Ave. Lung Center EB involving 2 taxi and pick up as of 9:17 AM. 2 lanes oc… https://t.co/wYPCd6IfV5,https://twitter.com/mmda/status/1039689431710543872
655,2018-09-12 00:00:00,9:20 AM,EDSA AYALA TUNNEL,Makati City,14.550028,121.029058,NB,VEHICULAR ACCIDENT,1,CAR AND TAXI,MMDA ALERT: Vehicular accident at EDSA Ayala tunnel NB involving car and taxi as of 9:20 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1039689994036686848
656,2018-09-12 00:00:00,10:05 AM,CUBAO ARAYAT,Quezon City,14.619467,121.05107,SB,STALLED TAXI DUE TO MECHANICAL PROBLEM,1,TAXI,MMDA ALERT: Stalled taxi due to mechanical problem at Cubao Arayat SB as of 10:05 AM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1039697532471758849
657,2018-09-12 00:00:00,10:06 AM,TIMOG SPLIT,None,None,None,SB,VEHICULAR ACCIDENT,1,CAR AND AUV,MMDA ALERT: Vehicular accident at Timog Split SB involving car and AUV as of 10:06 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1039698032671903746
658,2018-09-12 00:00:00,12:06 PM,EDSA SHAW,Mandaluyong,14.581153,121.053565,SB,VEHICULAR ACCIDENT,1,CAR AND AUV,MMDA ALERT: Vehicular accident at EDSA Shaw SB involving car and AUV as of 12:06 PM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1039735610595000320
659,2018-09-12 00:00:00,1:17 PM,EDSA TRAMO,Pasay City,14.538386,121.008456,SB,STALLED TRUCK DUE TO MECHANICAL PROBLEM,1,TRUCK,MMDA ALERT: Stalled truck due to mechanical problem at EDSA Tramo SB as of 1:17 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1039751015938117632
660,2018-09-12 00:00:00,1:21 PM,C5 GREENMEADOWS AVE.,Quezon City,14.601414,121.079325,NB,STALLED CAR DUE TO MECHANICAL PROBLEM,1,CAR,MMDA ALERT: Stalled car due to mechanical problem at C5 Greenmeadows Ave. NB as of 1:21 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1039751364551823361
661,2018-09-12 00:00:00,2:08 PM,C5 LANUZA,Pasig City,14.577625,121.073462,SB,VEHICULAR ACCIDENT,1,2 CARS,MMDA ALERT: Vehicular accident at C5 Lanuza SB involving 2 cars as of 2:08 PM. 1 lane occupied. MMDA enforcer on site. #mmda,https://twitter.com/mmda/status/1039761286685384704
